Location,Site,Row,Column,BroadLeaf
RS,RS001,1,0,0
RS,RS001,1,1,0
RS,RS001,1,2,0
RS,RS001,1,3,1
RS,RS001,1,4,1
RS,RS001,1,5,1
RS,RS001,1,6,0
RS,RS001,1,7,0
RS,RS001,2,0,0
RS,RS001,2,1,0
RS,RS001,2,2,1
RS,RS001,2,3,1
RS,RS001,2,4,1
RS,RS001,2,5,1
RS,RS001,2,6,0
RS,RS001,2,7,0
RS,RS001,3,0,0
RS,RS001,3,1,0
RS,RS001,3,2,0
RS,RS001,3,3,0
RS,RS001,3,4,1
RS,RS001,3,5,1
RS,RS001,3,6,9
RS,RS001,3,7,0
RS,RS002,1,0,0
RS,RS002,1,1,1
RS,RS002,1,2,1
RS,RS002,1,3,0
RS,RS002,1,4,0
RS,RS002,1,5,0
RS,RS002,1,6,0
RS,RS002,1,7,1
RS,RS002,2,0,1
RS,RS002,2,1,1
RS,RS002,2,2,1
RS,RS002,2,3,0
RS,RS002,2,4,0
RS,RS002,2,5,0
RS,RS002,2,6,1
RS,RS002,2,7,1
RS,RS002,3,0,1
RS,RS002,3,1,1
RS,RS002,3,2,1
RS,RS002,3,3,1
RS,RS002,3,4,1
RS,RS002,3,5,1
RS,RS002,3,6,1
RS,RS002,3,7,1
RS,RS003,1,0,1
RS,RS003,1,1,0
RS,RS003,1,2,0
RS,RS003,1,3,1
RS,RS003,1,4,1
RS,RS003,1,5,0
RS,RS003,1,6,0
RS,RS003,1,7,0
RS,RS003,2,0,0
RS,RS003,2,1,1
RS,RS003,2,2,9
RS,RS003,2,3,1
RS,RS003,2,4,1
RS,RS003,2,5,0
RS,RS003,2,6,0
RS,RS003,2,7,1
RS,RS003,3,0,0
RS,RS003,3,1,1
RS,RS003,3,2,1
RS,RS003,3,3,1
RS,RS003,3,4,1
RS,RS003,3,5,0
RS,RS003,3,6,0
RS,RS003,3,7,9
RS,RS004,1,0,0
RS,RS004,1,1,1
RS,RS004,1,2,0
RS,RS004,1,3,0
RS,RS004,1,4,0
RS,RS004,1,5,0
RS,RS004,1,6,1
RS,RS004,1,7,0
RS,RS004,2,0,0
RS,RS004,2,1,1
RS,RS004,2,2,9
RS,RS004,2,3,1
RS,RS004,2,4,0
RS,RS004,2,5,1
RS,RS004,2,6,1
RS,RS004,2,7,1
RS,RS004,3,0,0
RS,RS004,3,1,1
RS,RS004,3,2,1
RS,RS004,3,3,1
RS,RS004,3,4,9
RS,RS004,3,5,1
RS,RS004,3,6,0
RS,RS004,3,7,1
RS,RS005,1,0,1
RS,RS005,1,1,1
RS,RS005,1,2,0
RS,RS005,1,3,0
RS,RS005,1,4,0
RS,RS005,1,5,1
RS,RS005,1,6,1
RS,RS005,1,7,1
RS,RS005,2,0,0
RS,RS005,2,1,1
RS,RS005,2,2,9
RS,RS005,2,3,0
RS,RS005,2,4,9
RS,RS005,2,5,1
RS,RS005,2,6,1
RS,RS005,2,7,9
RS,RS005,3,0,9
RS,RS005,3,1,1
RS,RS005,3,2,9
RS,RS005,3,3,9
RS,RS005,3,4,9
RS,RS005,3,5,1
RS,RS005,3,6,1
RS,RS005,3,7,1
RS,RS006,1,0,1
RS,RS006,1,1,0
RS,RS006,1,2,0
RS,RS006,1,3,0
RS,RS006,1,4,0
RS,RS006,1,5,0
RS,RS006,1,6,1
RS,RS006,1,7,1
RS,RS006,2,0,1
RS,RS006,2,1,0
RS,RS006,2,2,0
RS,RS006,2,3,0
RS,RS006,2,4,0
RS,RS006,2,5,0
RS,RS006,2,6,0
RS,RS006,2,7,0
RS,RS006,3,0,0
RS,RS006,3,1,0
RS,RS006,3,2,0
RS,RS006,3,3,0
RS,RS006,3,4,0
RS,RS006,3,5,0
RS,RS006,3,6,0
RS,RS006,3,7,9
RS,RS007,1,0,1
RS,RS007,1,1,1
RS,RS007,1,2,1
RS,RS007,1,3,1
RS,RS007,1,4,1
RS,RS007,1,5,1
RS,RS007,1,6,1
RS,RS007,1,7,0
RS,RS007,2,0,1
RS,RS007,2,1,1
RS,RS007,2,2,1
RS,RS007,2,3,1
RS,RS007,2,4,1
RS,RS007,2,5,1
RS,RS007,2,6,1
RS,RS007,2,7,1
RS,RS007,3,0,1
RS,RS007,3,1,1
RS,RS007,3,2,1
RS,RS007,3,3,1
RS,RS007,3,4,1
RS,RS007,3,5,1
RS,RS007,3,6,1
RS,RS007,3,7,1
RS,RS009,1,0,0
RS,RS009,1,1,0
RS,RS009,1,2,1
RS,RS009,1,3,0
RS,RS009,1,4,0
RS,RS009,1,5,0
RS,RS009,1,6,1
RS,RS009,1,7,1
RS,RS009,2,0,1
RS,RS009,2,1,0
RS,RS009,2,2,1
RS,RS009,2,3,0
RS,RS009,2,4,1
RS,RS009,2,5,1
RS,RS009,2,6,1
RS,RS009,2,7,1
RS,RS009,3,0,1
RS,RS009,3,1,1
RS,RS009,3,2,1
RS,RS009,3,3,0
RS,RS009,3,4,0
RS,RS009,3,5,1
RS,RS009,3,6,1
RS,RS009,3,7,1
RS,RS010,1,0,0
RS,RS010,1,1,1
RS,RS010,1,2,0
RS,RS010,1,3,0
RS,RS010,1,4,0
RS,RS010,1,5,0
RS,RS010,1,6,0
RS,RS010,1,7,1
RS,RS010,2,0,1
RS,RS010,2,1,0
RS,RS010,2,2,1
RS,RS010,2,3,0
