Slice,Count,Total Area,Average Size,%Area,Perim.
p_0_Rockstock2020_001_T.tif,9997,1228285,122.865,6.856,23.850
p_0_Rockstock2020_002_T.tif,6528,359939,55.138,2.009,19.868
p_0_Rockstock2020_003_T.tif,4829,405290,83.928,2.262,21.523
p_0_Rockstock2020_004_T.tif,7175,1012380,141.098,5.651,23.207
p_0_Rockstock2020_005_T.tif,7440,1396334,187.679,7.794,24.159
p_0_Rockstock2020_006_T.tif,8211,468701,57.082,2.616,20.209
p_0_Rockstock2020_007_T.tif,4250,107732,25.349,0.601,15.350
p_0_Rockstock2020_008_T.tif,120,4264,35.533,0.024,19.917
p_0_Rockstock2020_009_T.tif,3719,182204,48.993,1.017,21.226
p_0_Rockstock2020_010_T.tif,4023,144147,35.831,0.805,19.239
p_0_Rockstock2020_011_T.tif,6768,499748,73.840,2.789,24.850
p_0_Rockstock2020_012_T.tif,5114,193989,37.933,1.083,17.281
p_0_Rockstock2020_013_T.tif,3946,2740301,694.450,15.295,30.522
p_0_Rockstock2020_014_T.tif,4635,235965,50.909,1.317,20.377
p_0_Rockstock2020_015_T.tif,4754,231872,48.774,1.294,20.827
p_0_Rockstock2020_016_T.tif,4825,515406,106.820,2.877,22.632
p_0_Rockstock2020_017_T.tif,3736,243473,65.169,1.359,22.325
p_0_Rockstock2020_018_T.tif,4701,699777,148.857,3.906,25.361
p_0_Rockstock2020_019_T.tif,4309,881537,204.580,4.920,30.288
p_0_Rockstock2020_020_T.tif,3880,851066,219.347,4.750,28.854
p_0_Rockstock2020_021_T.tif,2398,111309,46.417,0.621,19.511
p_0_Rockstock2020_022_T.tif,2986,305342,102.258,1.704,25.430
p_0_Rockstock2020_023_T.tif,5744,176578,30.741,0.986,15.992
p_0_Rockstock2020_024_T.tif,2945,132174,44.881,0.738,19.775
p_0_Rockstock2020_025_T.tif,4554,213182,46.812,1.190,21.234
p_0_Rockstock2020_026_T.tif,3206,119097,37.148,0.665,17.989
p_0_Rockstock2020_027_T.tif,1951,62897,32.238,0.351,17.138
p_0_Rockstock2020_028_T.tif,2426,118939,49.027,0.664,20.430
p_0_Rockstock2020_029_T.tif,3253,378485,116.350,2.113,25.506
p_0_Rockstock2020_030_T.tif,2517,120061,47.700,0.670,19.320
p_0_Rockstock2020_031_T.tif,3399,156535,46.053,0.874,20.500
p_0_Rockstock2020_032_T.tif,3711,228308,61.522,1.274,23.319
p_0_Rockstock2020_033_T.tif,4140,198237,47.883,1.106,20.971
p_0_Rockstock2020_034_T.tif,5851,365882,62.533,2.042,19.119
p_0_Rockstock2020_035_T.tif,3578,73254,20.473,0.409,13.770
p_0_Rockstock2020_036_T.tif,6157,903748,146.784,5.044,23.841
p_0_Rockstock2020_037_T.tif,3684,172989,46.957,0.966,17.146
p_0_Rockstock2020_038_T.tif,4453,159994,35.929,0.893,17.596
p_0_Rockstock2020_039_T.tif,7996,927204,115.958,5.175,22.460
