Slice,Count,Total Area,Average Size,%Area,Perim.
Rockstock2020_Sph_001_contrast05_T.tif,23364,7467793,319.628,9.857,38.938
Rockstock2020_Sph_002_contrast05_T.tif,21262,3616835,170.108,4.774,36.882
Rockstock2020_Sph_003_contrast05_T.tif,18017,3591565,199.343,4.741,36.819
Rockstock2020_Sph_004_contrast05_T.tif,24343,8860333,363.979,11.695,39.590
Rockstock2020_Sph_005_contrast05_T.tif,30828,13229738,429.147,17.463,37.896
Rockstock2020_Sph_006_contrast05_T.tif,19928,2969902,149.032,3.920,34.577
Rockstock2020_Sph_007_contrast05_T.tif,18715,1614150,86.249,2.131,29.476
Rockstock2020_Sph_009_contrast05_T.tif,20203,1883267,93.217,2.486,30.225
Rockstock2020_Sph_010_contrast05_T.tif,20732,1983619,95.679,2.618,30.542
Rockstock2020_Sph_011_contrast05_T.tif,21194,3844211,181.382,5.074,37.740
Rockstock2020_Sph_012_contrast05_T.tif,20860,2530570,121.312,3.340,31.642
Rockstock2020_Sph_013_contrast05_T.tif,17856,22232875,1245.121,29.347,42.452
Rockstock2020_Sph_014_contrast05_T.tif,23217,2986967,128.654,3.943,33.197
Rockstock2020_Sph_015_contrast05_T.tif,26308,3288910,125.016,4.341,32.794
Rockstock2020_Sph_016_contrast05_T.tif,34801,6167074,177.210,8.140,35.236
Rockstock2020_Sph_017_contrast05_T.tif,26828,3547352,132.226,4.682,33.483
Rockstock2020_Sph_018_contrast05_T.tif,23511,6160313,262.018,8.131,33.926
Rockstock2020_Sph_019_contrast05_T.tif,20450,8322726,406.979,10.986,43.144
Rockstock2020_Sph_020_contrast05_T.tif,21838,7888465,361.227,10.412,39.484
Rockstock2020_Sph_021_contrast05_T.tif,21821,2563991,117.501,3.384,32.520
Rockstock2020_Sph_022_contrast05_T.tif,22930,4744226,206.900,6.262,38.165
Rockstock2020_Sph_023_contrast05_T.tif,21643,2158462,99.730,2.849,29.979
Rockstock2020_Sph_024_contrast05_T.tif,19204,2052946,106.902,2.710,31.446
Rockstock2020_Sph_025_contrast05_T.tif,22922,2853419,124.484,3.766,34.080
Rockstock2020_Sph_027_contrast05_T.tif,21438,2274526,106.098,3.002,30.423
Rockstock2020_Sph_028_contrast05_T.tif,24332,2208239,90.755,2.915,29.270
Rockstock2020_Sph_029_contrast05_T.tif,22494,4226975,187.916,5.579,34.833
Rockstock2020_Sph_030_contrast05_T.tif,21979,2559548,116.454,3.379,32.790
Rockstock2020_Sph_031_contrast05_T.tif,30394,3531738,116.199,4.662,33.194
Rockstock2020_Sph_032_contrast05_T.tif,38857,5421936,139.536,7.157,33.120
Rockstock2020_Sph_033_contrast05_T.tif,28588,3001307,104.985,3.962,31.877
Rockstock2020_Sph_034_contrast05_T.tif,23689,4285126,180.891,5.656,34.954
Rockstock2020_Sph_035_contrast05_T.tif,21203,2546629,120.107,3.361,34.613
Rockstock2020_Sph_036_contrast05_T.tif,25838,8508486,329.301,11.231,40.048
Rockstock2020_Sph_037_contrast05_T.tif,24009,3644455,151.795,4.811,35.038
Rockstock2020_Sph_038_contrast05_T.tif,17226,2457660,142.672,3.244,36.611
Rockstock2020_Sph_039_contrast05_T.tif,26455,7883956,298.014,10.407,37.880
