 ,Label,Area,Perim.
1,p_0_YP02_C_T.tif,1,2.83
2,p_0_YP02_C_T.tif,2,4.24
3,p_0_YP02_C_T.tif,3,6.24
4,p_0_YP02_C_T.tif,18,20.73
5,p_0_YP02_C_T.tif,30,22.97
6,p_0_YP02_C_T.tif,6,8.49
7,p_0_YP02_C_T.tif,9,10.49
8,p_0_YP02_C_T.tif,83,70.08
9,p_0_YP02_C_T.tif,1,2.83
10,p_0_YP02_C_T.tif,1,2.83
11,p_0_YP02_C_T.tif,2,5.66
12,p_0_YP02_C_T.tif,1,2.83
13,p_0_YP02_C_T.tif,7,9.07
14,p_0_YP02_C_T.tif,3,5.66
15,p_0_YP02_C_T.tif,1,2.83
16,p_0_YP02_C_T.tif,34,23.80
17,p_0_YP02_C_T.tif,1,2.83
18,p_0_YP02_C_T.tif,39,35.11
19,p_0_YP02_C_T.tif,25,19.90
20,p_0_YP02_C_T.tif,4,5.66
21,p_0_YP02_C_T.tif,4,7.66
22,p_0_YP02_C_T.tif,3,5.66
23,p_0_YP02_C_T.tif,2,5.66
24,p_0_YP02_C_T.tif,3,5.66
25,p_0_YP02_C_T.tif,3,5.66
26,p_0_YP02_C_T.tif,7,10.49
27,p_0_YP02_C_T.tif,9,13.31
28,p_0_YP02_C_T.tif,6,8.49
29,p_0_YP02_C_T.tif,1,2.83
30,p_0_YP02_C_T.tif,19,26.97
31,p_0_YP02_C_T.tif,8,10.49
32,p_0_YP02_C_T.tif,3,5.66
33,p_0_YP02_C_T.tif,43,33.21
34,p_0_YP02_C_T.tif,48,32.38
35,p_0_YP02_C_T.tif,43,32.38
36,p_0_YP02_C_T.tif,20,19.56
37,p_0_YP02_C_T.tif,1,2.83
38,p_0_YP02_C_T.tif,27,28.63
39,p_0_YP02_C_T.tif,3,7.07
40,p_0_YP02_C_T.tif,4,7.66
41,p_0_YP02_C_T.tif,5,7.66
42,p_0_YP02_C_T.tif,1,2.83
43,p_0_YP02_C_T.tif,28,19.31
44,p_0_YP02_C_T.tif,184,90.81
45,p_0_YP02_C_T.tif,3,5.66
46,p_0_YP02_C_T.tif,12,11.90
47,p_0_YP02_C_T.tif,31,24.97
48,p_0_YP02_C_T.tif,9,11.07
49,p_0_YP02_C_T.tif,4,7.66
50,p_0_YP02_C_T.tif,6,10.49
51,p_0_YP02_C_T.tif,83,59.01
52,p_0_YP02_C_T.tif,2,4.24
53,p_0_YP02_C_T.tif,12,20.14
54,p_0_YP02_C_T.tif,6,9.07
55,p_0_YP02_C_T.tif,9,10.49
56,p_0_YP02_C_T.tif,2,4.24
57,p_0_YP02_C_T.tif,7,9.90
58,p_0_YP02_C_T.tif,4,7.07
59,p_0_YP02_C_T.tif,2,4.24
60,p_0_YP02_C_T.tif,33,23.56
61,p_0_YP02_C_T.tif,18,18.73
62,p_0_YP02_C_T.tif,21,18.49
63,p_0_YP02_C_T.tif,10,13.90
64,p_0_YP02_C_T.tif,58,35.21
65,p_0_YP02_C_T.tif,2,4.24
66,p_0_YP02_C_T.tif,28,21.80
67,p_0_YP02_C_T.tif,9,11.66
68,p_0_YP02_C_T.tif,3,6.24
69,p_0_YP02_C_T.tif,65,41.70
70,p_0_YP02_C_T.tif,8,13.07
71,p_0_YP02_C_T.tif,8,9.66
72,p_0_YP02_C_T.tif,1,2.83
73,p_0_YP02_C_T.tif,1,2.83
74,p_0_YP02_C_T.tif,4,9.07
75,p_0_YP02_C_T.tif,3,7.07
76,p_0_YP02_C_T.tif,2,5.66
77,p_0_YP02_C_T.tif,24,22.97
78,p_0_YP02_C_T.tif,2,5.66
79,p_0_YP02_C_T.tif,5,8.49
80,p_0_YP02_C_T.tif,1,2.83
81,p_0_YP02_C_T.tif,4,8.49
82,p_0_YP02_C_T.tif,34,30.97
83,p_0_YP02_C_T.tif,8,9.07
