Slice,Count,Total Area,Average Size,%Area,Perim.
p_0_YP02_C_T.tif,3736,119814,32.070,0.669,17.770
p_0_YP02_E_T.tif,2830,142283,50.277,0.794,18.324
p_0_YP02_N_T.tif,4717,177897,37.714,0.993,18.406
p_0_YP02_S_T.tif,3010,120751,40.117,0.674,17.980
p_0_YP02_W_T.tif,3388,256236,75.630,1.430,18.918
p_0_YP07_C_T.tif,6599,239516,36.296,1.337,18.831
p_0_YP07_E_T.tif,3144,74194,23.599,0.414,15.356
p_0_YP07_N_T.tif,3501,85592,24.448,0.478,15.272
p_0_YP07_S_T.tif,4127,255381,61.881,1.425,19.308
p_0_YP07_W_T.tif,5437,225821,41.534,1.260,18.940
p_0_YP09_C_T.tif,2164,349407,161.463,1.950,32.705
p_0_YP09_E_T.tif,4158,750721,180.549,4.190,35.023
p_0_YP09_N_T.tif,2125,331620,156.056,1.851,33.412
p_0_YP09_S_T.tif,1292,76262,59.026,0.426,22.509
p_0_YP09_W_T.tif,1621,230363,142.112,1.286,30.485
p_0_YP11_C_T.tif,1986,289936,145.990,1.618,18.793
p_0_YP11_E_T.tif,1695,46161,27.234,0.258,16.418
p_0_YP11_N_T.tif,3465,113700,32.814,0.635,17.938
p_0_YP11_S_T.tif,2170,236519,108.995,1.320,18.953
p_0_YP11_W_T.tif,2044,274206,134.152,1.531,19.685
p_0_YP14_C_T.tif,5444,455895,83.743,2.545,22.307
p_0_YP14_E_T.tif,5172,367327,71.022,2.050,22.063
p_0_YP14_N_T.tif,5230,426784,81.603,2.382,21.286
p_0_YP14_S_T.tif,4856,286453,58.989,1.599,20.947
p_0_YP14_W_T.tif,2965,102994,34.737,0.575,16.940
p_0_YP15_C_T.tif,4290,249438,58.144,1.392,20.602
p_0_YP15_E_T.tif,4355,333981,76.689,1.864,23.525
p_0_YP15_N_T.tif,3340,144227,43.182,0.805,19.277
p_0_YP15_S_T.tif,4378,297042,67.849,1.658,20.461
p_0_YP15_W_T.tif,2416,167709,69.416,0.936,19.978
p_0_YP30_C_T.tif,3001,1388822,462.786,7.752,23.261
p_0_YP30_E_T.tif,3243,175066,53.983,0.977,20.785
p_0_YP30_N_T.tif,2199,851018,387.002,4.750,21.631
p_0_YP30_S_T.tif,3914,132522,33.858,0.740,16.825
p_0_YP30_W_T.tif,6525,428744,65.708,2.393,23.026
