Slice,Count,Total Area,Average Size,%Area,Perim.
YP02_C_c_T.tif,26289,2090747,79.529,2.760,28.611
YP02_E_c_T.tif,31824,2800497,88.000,3.697,26.206
YP02_N_c_T.tif,28195,2365988,83.915,3.123,28.939
YP02_S_c_T.tif,36617,2906376,79.372,3.836,25.614
YP02_W_c_T.tif,22248,2714163,121.996,3.583,28.944
YP07_C_c_T.tif,23751,2036575,85.747,2.688,29.148
YP07_E_c_T.tif,21083,1457693,69.141,1.924,27.251
YP07_N_c_T.tif,22070,1662035,75.307,2.194,27.989
YP07_S_c_T.tif,22971,2648472,115.296,3.496,29.160
YP07_W_c_T.tif,27799,2164336,77.857,2.857,26.230
YP09_C_c_T.tif,33516,4107357,122.549,5.422,28.702
YP09_E_c_T.tif,28131,2811041,99.927,3.710,29.841
YP09_N_c_T.tif,26117,3435111,131.528,4.534,30.790
YP09_S_c_T.tif,24350,2090060,85.834,2.759,28.663
YP09_W_c_T.tif,26979,3350312,124.182,4.422,30.224
YP11_C_c_T.tif,24892,3685420,148.056,4.865,27.574
YP11_E_c_T.tif,15688,1267579,80.799,1.673,28.013
YP11_N_c_T.tif,22046,2030003,92.080,2.680,29.757
YP11_S_c_T.tif,20025,2634206,131.546,3.477,26.192
YP11_W_c_T.tif,18314,3003425,163.996,3.964,27.429
YP14_C_c_T.tif,34616,4624161,133.584,6.104,29.594
YP14_E_c_T.tif,32268,3781423,117.188,4.991,30.043
YP14_N_c_T.tif,31154,3740550,120.066,4.937,28.116
YP14_S_c_T.tif,31998,3560249,111.265,4.699,28.898
YP14_W_c_T.tif,36055,2466217,68.402,3.255,23.825
YP15_C_c_T.tif,28417,3138425,110.442,4.143,28.789
YP15_E_c_T.tif,24484,3616794,147.721,4.774,33.078
YP15_N_c_T.tif,19206,2660672,138.533,3.512,33.024
YP15_S_c_T.tif,24029,2955727,123.007,3.901,29.657
YP15_W_c_T.tif,17547,2109773,120.236,2.785,30.359
YP30_C_c_T.tif,24196,11617949,480.160,15.335,30.080
YP30_E_c_T.tif,18909,2126140,112.441,2.806,30.087
YP30_N_c_T.tif,20523,7570130,368.861,9.992,26.638
YP30_S_c_T.tif,27160,1922618,70.789,2.538,25.536
YP30_W_c_T.tif,23546,3424666,145.446,4.520,33.927
